tree_id,block_id,tree_dbh,stump_diam
3,501451,24,0
4,501451,20,0
7,501911,3,0
8,501911,3,0
9,501911,4,0
10,501911,4,0
11,501911,4,0
12,501911,4,0
13,501911,4,0
14,501911,3,0
15,501911,3,0
16,501911,4,0
17,501909,2,0
18,501909,2,0
19,501909,3,0
20,501909,4,0
21,501909,4,0
22,501909,4,0
23,501909,0,3
26,501967,14,0
27,501967,3,0
28,501967,4,0
29,501134,7,0
30,501134,8,0
31,501134,7,0
32,501134,8,0
33,501134,7,0
34,501134,5,0
35,501134,6,0
36,501134,5,0
37,501966,5,0
38,501966,17,0
39,501966,0,31
40,501966,19,0
41,501966,21,0
42,501966,18,0
43,500846,4,0
44,500846,5,0
45,500846,3,0
46,500846,4,0
47,500846,3,0
48,500846,4,0
49,500836,13,0
50,500836,13,0
51,500836,13,0
52,500836,5,0
53,500836,4,0
54,500836,4,0
55,500836,4,0
56,500836,11,0
57,500836,5,0
58,500836,4,0
59,500836,5,0
60,501882,8,0
61,501882,51,0
62,501882,7,0
63,501882,4,0
64,501882,15,0
65,501882,3,0
66,501882,8,0
67,501882,6,0
68,501882,6,0
69,501882,3,0
70,501113,4,0
71,501113,3,0
72,501113,2,0
73,501113,3,0
74,501113,3,0
75,500917,6,0
76,500917,5,0
77,500917,5,0
85,501323,5,0
86,501323,5,0
87,501323,9,0
88,501323,4,0
89,501323,4,0
90,501323,7,0
91,501323,7,0
113,501451,6,0
114,501451,5,0
115,516296,4,0
116,516296,4,0
117,516296,5,0
118,516296,5,0
119,516296,5,0
120,516296,7,0
121,516296,3,0
122,516296,5,0
123,516296,3,0
124,516296,3,0
125,516296,6,0
126,516296,6,0
127,516296,8,0
128,516296,7,0
129,503178,4,0
130,503178,5,0
131,503178,4,0
132,503178,4,0
133,503178,4,0
134,503178,4,0
135,501451,6,0
136,501451,5,0
137,501451,3,0
138,501451,4,0
139,501451,12,0
140,501451,12,0
141,501451,12,0
142,501451,5,0
143,501451,6,0
144,501874,6,0
145,501874,6,0
146,501874,6,0
147,501874,6,0
148,501874,5,0
149,501874,5,0
150,501874,6,0
151,501874,7,0
152,501874,7,0
153,501874,25,0
154,501874,0,5
155,501874,5,0
156,501874,4,0
157,501874,6,0
158,501874,6,0
159,501874,7,0
160,501874,11,0
161,501874,6,0
162,501874,17,0
163,501874,13,0
164,501874,14,0
165,501874,14,0
166,501874,20,0
167,501874,15,0
168,501874,13,0
169,501874,7,0
170,501874,7,0
171,501874,10,0
172,501874,17,0
173,501874,14,0
174,501874,4,0
175,501874,6,0
176,501874,7,0
177,501874,8,0
178,501874,7,0
179,501874,7,0
180,501874,6,0
181,501874,7,0
182,501874,5,0
183,501942,2,0
184,501942,2,0
185,501942,2,0
186,501942,2,0
187,314009,26,0
188,314009,25,0
189,314009,2,0
190,314009,15,0
191,314009,6,0
192,314009,20,0
193,314009,5,0
194,314009,9,0
195,314009,15,0
196,314009,13,0
197,314009,15,0
198,314009,3,0
199,314009,2,0
200,314009,13,0
201,314009,6,0
202,314009,12,0
203,314009,15,0
204,314009,18,0
205,314009,22,0
206,314009,18,0
